   Serial    Ch_lo    Ch_hi     Zone  Station   Module   Layer
==============================================================
0x80BC6DD        0     1023        1        0        0       0
0x80BC6DD        0     1023        2        0        0       2
0x80BC6DD     1024     2047        1        0        0       1
0x80BC6DD     1024     2047        2        0        0       3
0x76D4DAD        0     1023        3        0        1       0
0x76D4DAD        0     1023        4        0        1       2
0x76D4DAD     1024     2047        3        0        1       1
0x76D4DAD     1024     2047        4        0        1       3
0x76D35C6        0     1023        1        1        0       0
0x76D35C6        0     1023        2        1        0       2
0x76D35C6     1024     2047        1        1        0       1
0x76D35C6     1024     2047        2        1        0       3
0x76D4D2B        0     1023        3        1        1       0
0x76D4D2B        0     1023        4        1        1       2
0x76D4D2B     1024     2047        3        1        1       1
0x76D4D2B     1024     2047        4        1        1       3
0x611D0DA        0     1023        1        2        0       0
0x611D0DA        0     1023        2        2        0       2
0x611D0DA     1024     2047        1        2        0       1
0x611D0DA     1024     2047        2        2        0       3
0x80BCCCF        0     1023        3        2        1       0
0x80BCCCF        0     1023        4        2        1       2
0x80BCCCF     1024     2047        3        2        1       1
0x80BCCCF     1024     2047        4        2        1       3
