//serial_to_GEM_id//
   Serial      Ch_lo      Ch_hi      GEM_id    ADC_ch_lo  ADC_ch_hi           
===================================================================
0x76CBA8B          0       2047           1            0         63
0x76CD410          0       2047           2            0         63
0x76C8320          0       2047           3            0         63
0x76CB9C0          0       2047           4            0         63
0x76CA266          0       2047           5            0         63
0x76D08B9          0        127           1            0          3
0x76D08B9        128        255           2            4          7
0x76D08B9        256        383           3            8         11 
0x76D08B9        384        511           4           12         15
0x76D08B9        896       1023           5           28         31
0x76D08B9       1024       1536           0           32         48
0x76D08B9        640        767           6           20         23
0x76D08B9        768        895           6           24         27
0x76C8321          0       1023           6            0         31
0x76CE3EE          0       2047           6            0         63
0x76CE3E5          0       2047           6            0         63
0x4E983C1          0       1023           6            0         31

