//serial_to_GEM_id//
   Serial    Ch_lo    Ch_hi   GEM_id  Station    hotZ     
=====================================================
0x76CBA8B        0     2047        2        4       0     
0x76CD410        0     2047        5        2       0     
0x76C8320        0     2047        3        3       0     
0x76CB9C0        0     2047        1        4       0     
0x76CA266        0     2047        4        1       0     
0x76D08B9        0      127        2        4       0      
0x76D08B9      128      255        5        2       0     
0x76D08B9      256      383        3        3       0      
0x76D08B9      384      511        1        4       0     
0x76D08B9      896     1023        4        1       0     
0x76D08B9     1024     1535        0        0       0     
0x76D08B9      640      767        8        6       0    
0x76D08B9      768      895        9        6       0     
0x76D08B9     1792     1919        7        5       0    
0x76D08B9     1920     2047        6        5       0     
0x76CA26F        0     1023        8        6       1    
0x76CE3EE        0     2047        8        6       0     
0x76CE3E5        0     2047        9        6       0     
0x30DCF31        0     1023        9        6       1     
0x76CA26F     1024     2047        7        5       1    
0x76C82BE        0     2047        7        5       0     
0x76CD411        0     2047        6        5       0     
0x30DCF31     1024     2047        6        5       1        
