//GEM_id: the second digit 0=left, 1=right;
//Module: 0=00 (mod0,hotZone), 1=01 (mod0,bigZone), 2=10 (mod1,hotZone), 3=11 (mod1,bigZone)
//For middle GEMs Module = 0 or 2 
   Serial    Ch_lo    Ch_hi   GEM_id  Station  Module     
=====================================================
0x76CBA8B        0     2047        0        3       2     
0x76CD410        0     2047        1        1       0     
0x76C8320        0     2047        2        2       0     
0x76CB9C0        0     2047        3        3       0     
0x76CA266        0     2047        4        0       0     
0x76D08B9        0      127        0        3       2      
0x76D08B9      128      255        1        1       0     
0x76D08B9      256      383        2        2       0      
0x76D08B9      384      511        3        3       0     
0x76D08B9      896     1023        4        0       0     
0x76D08B9      640      767       50        5       3    
0x76D08B9      768      895       51        5       1     
0x76D08B9     1792     1919       60        4       1    
0x76D08B9     1920     2047       61        4       3     
0x76CA26F        0     1023       50        5       2    
0x76CE3EE        0     2047       50        5       3     
0x76CE3E5        0     2047       51        5       1     
0x30DCF31        0     1023       51        5       0     
0x76CA26F     1024     2047       60        4       0    
0x76C82BE        0     2047       60        4       1     
0x76CD411        0     2047       61        4       3     
0x30DCF31     1024     2047       61        4       2   
