//GEM_id: the second digit 0=left, 1=right;
//Module: 0=00 (mod0,hotZone), 1=01 (mod0,bigZone), 2=10 (mod1,hotZone), 3=11 (mod1,bigZone)
//For middle GEMs Module = 0 or 2
   Serial    Ch_lo    Ch_hi   GEM_id  Station  Module
=====================================================
0x76CD410     1024     2047      110        0       0
0x76C8320        0     2047      110        0       1
0x76CB9C0        0     2047      111        0       3
0x76CA266     1024     2047      111        0       2
0x76D08B9      768      895      111        0       3
0x76D4D2B        0     1023      100        1       2
0x76D5044        0     2047      100        1       3
0x76D08B9      896     1023      100        1       3
0x611E026        0     2047      101        1       1
0x76D4DAD        0     1023      101        1       0
0x76C8321        0     1023       50        2       2
0x76CE3EE        0     2047       50        2       3
0x76D08B9      640      767       50        2       3
0x76D08B9      768      895       51        2       1
0x76CE3E5        0     2047       51        2       1
0x4E983C1        0     1023       51        2       0
0x76C8321     1024     2047       60        3       0
0x76C82BE        0     2047       60        3       1
0x76D08B9     1920     2047       60        3       1
0x76D08B9     1792     1919       61        3       3
0x76CD411        0     2047       61        3       3
0x4E983C1     1024     2047       61        3       2
0x611D0D7        0     1023       80        4       2
0x7A9B206        0     2047       80        4       3
0x76D08B9     1024     1151       80        4       3
0x76D08B9     1152     1279       81        4       1
0x76D4CE3        0     2047       81        4       1
0x611E021        0     1023       81        4       0
0x76D4D2B     1024     2047       90        5       0   
0x76D35C6        0     2047       90        5       1
0x76D08B9     1280     1407       90        5       1
0x76D08B9     1408     1535       91        5       3
0x80BC6DD        0     2047       91        5       3
0x76D4DAD     1024     2047       91        5       2
