//GEM_id: the second digit 0=left, 1=right;
//Module: 0=00 (mod0,hotZone), 1=01 (mod0,bigZone), 2=10 (mod1,hotZone), 3=11 (mod1,bigZone)
//For middle GEMs Module = 0 or 2 
   Serial    Ch_lo    Ch_hi   GEM_id  Station  Module
=====================================================
0x76CA266        0     2047        4        0       0
0x76D3E6B      896     1023        4        0       1
0x76CD410        0     2047        3        1       0
0x76D3E6B      128      255        3        1       1
0x76C8320        0     2047        1        2       0
0x76D3E6B      256      383        1        2       1
0x76CB9C0        0     2047        2        3       0
0x76D3E6B      384      511        2        3       1
0x76D4D2B        0     1023      100        4       0  
0x76D5044        0     2047      100        4       1          
0x76D08B9      896     1023      100        4       1          
0x76D08B9       -1       -1      101        4       3          
0x611E026        0     2047      101        4       3          
0x76D4DAD        0     1023      101        4       2          
0x611D0D7     1024     2047       70        5       2          
0x611D0CE        0     2047       70        5       3          
0x76D08B9     1536     1663       70        5       3          
0x76D08B9     1664     1791       71        5       1          
0x611E01A        0     2047       71        5       1          
0x611E021     1024     2047       71        5       0          
0x76CA26F        0     1023       50        6       0          
0x76CE3EE        0     2047       50        6       1          
0x76D08B9      640      767       50        6       1          
0x76D08B9      768      895       51        6       3          
0x76CE3E5        0     2047       51        6       3          
0x30DCF31        0     1023       51        6       2          
0x76CA26F     1024     2047       60        7       2          
0x76C82BE        0     2047       60        7       3          
0x76D08B9     1792     1919       60        7       3          
0x76D08B9     1920     2047       61        7       1          
0x76CD411        0     2047       61        7       1          
0x30DCF31     1024     2047       61        7       0          
0x611D0D7        0     1023       80        8       0          
0x7A9B206        0     2047       80        8       1          
0x76D08B9     1024     1151       80        8       1          
0x76D08B9     1152     1279       81        8       3          
0x76D4CE3        0     2047       81        8       3          
0x611E021        0     1023       81        8       2         
0x76D4D2B     1024     2047       90        9       2          
0x80BC6DD        0     2047       90        9       3          
0x76D08B9     1280     1407       90        9       3          
0x76D08B9     1408     1535       91        9       1          
0x76D35C6        0     2047       91        9       1          
0x76D4DAD     1024     2047       91        9       0         
