    Serial   Station    Plane
=============================
0x06E9B78B         0        0
0x046F2950         0        1
0x06E9B820         0        2
0x06E9B8BE         0        3
0x06E9B83F         0        4
0x06E9B838         0        5
0x06E9B8C5         1        0
0x06E9B791         1        1
0x06E9FFB7         1        2
0x06EA474D         1        3
0x06E9B8A5         1        4
0x06E9FFB4         1        5
0x046F1A8D         2        0
0x046F4513         2        1
0x046F028B         2        2
0x046EFA79         2        3
0x046F45DF         2        4
0x046F304E         2        5
0x046F2FFF         3        0
0x046F4504         3        1
0x046F47CB         3        2
0x046F3F8E         3        3
0x046F30B8         3        4
0x046F304F         3        5
