channel     module_ADC     module    coord        serial   start_strip
======================================================================
     43              1          0        X     0x611D0DA             1
     44              1          0        X     0x611D0DA           129
     45              1          0        X     0x611D0DA           257
     46              1          0        X     0x611D0DA           385
     47              1          0        X     0x611D0DA           513
     38              1          0        Y     0x611D0DA             1
     39              1          0        Y     0x611D0DA           129
     40              1          0        Y     0x611D0DA           257
     41              1          0        Y     0x611D0DA           385
     42              1          0        Y     0x611D0DA           513
      6              2          3        X     0x611D0DA             1
      7              2          3        X     0x611D0DA           129
      8              2          3        X     0x611D0DA           257
      9              2          3        X     0x611D0DA           385
     10              2          3        X     0x611D0DA           513
     11              2          3        Y     0x611D0DA             1
     12              2          3        Y     0x611D0DA           129
     13              2          3        Y     0x611D0DA           257
     14              2          3        Y     0x611D0DA           385
     15              2          3        Y     0x611D0DA           513
     43              3          7        X     0x4E993A5             1 
     44              3          7        X     0x4E993A5           129
     45              3          7        X     0x4E993A5           257
     46              3          7        X     0x4E993A5           385
     47              3          7        X     0x4E993A5           513
     38              3          7        Y     0x4E993A5             1
     39              3          7        Y     0x4E993A5           129
     40              3          7        Y     0x4E993A5           257
     41              3          7        Y     0x4E993A5           385
     42              3          7        Y     0x4E993A5           513
      6              4          4        X     0x4E993A5             1
      7              4          4        X     0x4E993A5           129
      8              4          4        X     0x4E993A5           257
      9              4          4        X     0x4E993A5           385
     10              4          4        X     0x4E993A5           513
     11              4          4        Y     0x4E993A5             1
     12              4          4        Y     0x4E993A5           129
     13              4          4        Y     0x4E993A5           257
     14              4          4        Y     0x4E993A5           385
     15              4          4        Y     0x4E993A5           513
     17              5          2        X     0x611D0DA             1
     18              5          2        X     0x611D0DA           129
     19              5          2        X     0x611D0DA           257
     20              5          2        X     0x611D0DA           385
     21              5          2        X     0x611D0DA           513
     22              5          2        Y     0x611D0DA             1
     23              5          2        Y     0x611D0DA           129
     24              5          2        Y     0x611D0DA           257
     25              5          2        Y     0x611D0DA           385
     26              5          2        Y     0x611D0DA           513
     17              6          5        X     0x4E993A5             1
     18              6          5        X     0x4E993A5           129
     19              6          5        X     0x4E993A5           257
     20              6          5        X     0x4E993A5           385
     21              6          5        X     0x4E993A5           513
     22              6          5        Y     0x4E993A5             1
     23              6          5        Y     0x4E993A5           129
     24              6          5        Y     0x4E993A5           257
     25              6          5        Y     0x4E993A5           385
     26              6          5        Y     0x4E993A5           513
     33              7          6        X     0x4E993A5             1
     34              7          6        X     0x4E993A5           129
     35              7          6        X     0x4E993A5           257
     36              7          6        X     0x4E993A5           385
     37              7          6        X     0x4E993A5           513
     27              7          6        Y     0x4E993A5             1
     28              7          6        Y     0x4E993A5           129
     29              7          6        Y     0x4E993A5           257
     30              7          6        Y     0x4E993A5           385
     31              7          6        Y     0x4E993A5           513
     33              8          1        X     0x611D0DA             1
     34              8          1        X     0x611D0DA           129
     35              8          1        X     0x611D0DA           257
     36              8          1        X     0x611D0DA           385
     37              8          1        X     0x611D0DA           513
     27              8          1        Y     0x611D0DA             1
     28              8          1        Y     0x611D0DA           129
     29              8          1        Y     0x611D0DA           257
     30              8          1        Y     0x611D0DA           385
     31              8          1        Y     0x611D0DA           513
