//Station: 0 - vertex (near), 1 - vertex(far), 2 - Forward detector
//Layer: 0 - vertical strips, 1 - sloped strips
    Serial    Ch_lo    Ch_hi   ADC_mod  GEO_mod   Layer  Station
================================================================
0x80BCBFC       43       47        12        0       0        2
0x80BCBFC       38       42        12        0       1        2
0x80BCBFC       33       37        14        1       0        2
0x80BCBFC       27       31        14        1       1        2
0x80BCBFC       17       21         9        2       0        2
0x80BCBFC       22       26         9        2       1        2
0x80BCBFC        6       10        10        3       0        2
0x80BCBFC       11       15        10        3       1        2
0x76D2BCB        6       10        11        4       0        2
0x76D2BCB       11       15        11        4       1        2
0x76D2BCB       17       21         8        5       0        2
0x76D2BCB       22       26         8        5       1        2
0x76D2BCB       33       37         5        6       0        2
0x76D2BCB       27       31         5        6       1        2
0x76D2BCB       43       47         2        7       0        2
0x76D2BCB       38       42         2        7       1        2
0x76D504F       22       26         2        0       0        1
0x76D504F       27       31         2        0       1        1
0x76D504F        6       10         1        1       0        1
0x76D504F       11       15         1        1       1        1
0x4E993A5        6       10         1        0       0        0
0x4E993A5       11       15         1        0       1        0
0x4E993A5       22       26         2        1       0        0
0x4E993A5       27       31         2        1       1        0
0x4E993A5       38       42         3        2       0        0
0x4E993A5       43       47         3        2       1        0
0x4E993A5       54       58         4        3       0        0
0x4E993A5       59       63         4        3       1        0
