//Station: 0 - vertex (near), 1 - vertex(far), 2 - Forward detector
//Layer: 0 - vertical strips, 1 - sloped strips
    Serial    Ch_lo    Ch_hi   ADC_mod  GEO_mod   Layer  Station
================================================================
0x80BCBFC       25       29         0        0       0        0
0x80BCBFC       24       20         0        0       1        0
0x80BCBFC       13        9         0        1       0        0
0x80BCBFC       19       15         0        1       1        0
0x80BCBFC       57       61         0        0       0        1
0x80BCBFC       56       52         0        0       1        1
0x80BCBFC       45       41         0        1       0        1
0x80BCBFC       51       47         0        1       1        1
0x4E993A5       25       29         0        0       0        2
0x4E993A5       24       20         0        0       1        2
0x4E993A5       13        9         0        1       0        2
0x4E993A5       19       15         0        1       1        2
0x4E993A5       57       61         0        0       0        3
0x4E993A5       56       52         0        0       1        3
0x4E993A5       45       41         0        1       0        3
0x4E993A5       51       47         0        1       1        3
