Plane	Strip	MeanFit	Mean
==========================
0	0	0.07	0.07
0	1	0.07	0.07
0	2	0.07	0.07
0	3	0.07	0.07
0	4	0.07	0.07
0	5	0.07	0.07
0	6	0.07	0.07
0	7	0.07	0.07
0	8	0.07	0.07
0	9	0.07	0.07
0	10	0.07	0.07
0	11	0.07	0.07
0	12	0.07	0.07
0	13	0.07	0.07
0	14	0.07	0.07
0	15	0.07	0.07
0	16	0.07	0.07
0	17	0.07	0.07
0	18	0.07	0.07
0	19	0.07	0.07
0	20	0.07	0.07
0	21	0.07	0.07
0	22	0.07	0.07
0	23	0.07	0.07
0	24	0.07	0.07
0	25	0.07	0.07
0	26	0.07	0.07
0	27	0.07	0.07
0	28	0.07	0.07
0	29	0.07	0.07
0	30	0.07	0.07
0	31	0.07	0.07
0	32	0.07	0.07
0	33	0.07	0.07
0	34	0.07	0.07
0	35	0.07	0.07
0	36	0.07	0.07
0	37	0.07	0.07
0	38	0.07	0.07
0	39	0.07	0.07
0	40	0.07	0.07
0	41	0.07	0.07
0	42	0.07	0.07
0	43	0.07	0.07
0	44	0.07	0.07
0	45	0.07	0.07
0	46	0.07	0.07
0	47	0.07	0.07
1	0	-0.01	-0.01
1	1	-0.01	-0.01
1	2	-0.01	-0.01
1	3	-0.01	-0.01
1	4	-0.01	-0.01
1	5	-0.01	-0.01
1	6	-0.01	-0.01
1	7	-0.01	-0.01
1	8	-0.01	-0.01
1	9	-0.01	-0.01
1	10	-0.01	-0.01
1	11	-0.01	-0.01
1	12	-0.01	-0.01
1	13	-0.01	-0.01
1	14	-0.01	-0.01
1	15	-0.01	-0.01
1	16	-0.01	-0.01
1	17	-0.01	-0.01
1	18	-0.01	-0.01
1	19	-0.01	-0.01
1	20	-0.01	-0.01
1	21	-0.01	-0.01
1	22	-0.01	-0.01
1	23	-0.01	-0.01
1	24	-0.01	-0.01
1	25	-0.01	-0.01
1	26	-0.01	-0.01
1	27	-0.01	-0.01
1	28	-0.01	-0.01
1	29	-0.01	-0.01
1	30	-0.01	-0.01
1	31	-0.01	-0.01
1	32	-0.01	-0.01
1	33	-0.01	-0.01
1	34	-0.01	-0.01
1	35	-0.01	-0.01
1	36	-0.01	-0.01
1	37	-0.01	-0.01
1	38	-0.01	-0.01
1	39	-0.01	-0.01
1	40	-0.01	-0.01
1	41	-0.01	-0.01
1	42	-0.01	-0.01
1	43	-0.01	-0.01
1	44	-0.01	-0.01
1	45	-0.01	-0.01
1	46	-0.01	-0.01
1	47	-0.01	-0.01
2	0	2.18	2.18
2	1	2.18	2.18
2	2	2.18	2.18
2	3	2.18	2.18
2	4	2.18	2.18
2	5	2.18	2.18
2	6	2.18	2.18
2	7	2.18	2.18
2	8	2.18	2.18
2	9	2.18	2.18
2	10	2.18	2.18
2	11	2.18	2.18
2	12	2.18	2.18
2	13	2.18	2.18
2	14	2.18	2.18
2	15	2.18	2.18
2	16	2.18	2.18
2	17	2.18	2.18
2	18	2.18	2.18
2	19	2.18	2.18
2	20	2.18	2.18
2	21	2.18	2.18
2	22	2.18	2.18
2	23	2.18	2.18
2	24	2.18	2.18
2	25	2.18	2.18
2	26	2.18	2.18
2	27	2.18	2.18
2	28	2.18	2.18
2	29	2.18	2.18
2	30	2.18	2.18
2	31	2.18	2.18
2	32	2.18	2.18
2	33	2.18	2.18
2	34	2.18	2.18
2	35	2.18	2.18
2	36	2.18	2.18
2	37	2.18	2.18
2	38	2.18	2.18
2	39	2.18	2.18
2	40	2.18	2.18
2	41	2.18	2.18
2	42	2.18	2.18
2	43	2.18	2.18
2	44	2.18	2.18
2	45	2.18	2.18
2	46	2.18	2.18
2	47	2.18	2.18
3	0	6.64	6.64
3	1	6.64	6.64
3	2	6.64	6.64
3	3	6.64	6.64
3	4	6.64	6.64
3	5	6.64	6.64
3	6	6.64	6.64
3	7	6.64	6.64
3	8	6.64	6.64
3	9	6.64	6.64
3	10	6.64	6.64
3	11	6.64	6.64
3	12	6.64	6.64
3	13	6.64	6.64
3	14	6.64	6.64
3	15	6.64	6.64
3	16	6.64	6.64
3	17	6.64	6.64
3	18	6.64	6.64
3	19	6.64	6.64
3	20	6.64	6.64
3	21	6.64	6.64
3	22	6.64	6.64
3	23	6.64	6.64
3	24	6.64	6.64
3	25	6.64	6.64
3	26	6.64	6.64
3	27	6.64	6.64
3	28	6.64	6.64
3	29	6.64	6.64
3	30	6.64	6.64
3	31	6.64	6.64
3	32	6.64	6.64
3	33	6.64	6.64
3	34	6.64	6.64
3	35	6.64	6.64
3	36	6.64	6.64
3	37	6.64	6.64
3	38	6.64	6.64
3	39	6.64	6.64
3	40	6.64	6.64
3	41	6.64	6.64
3	42	6.64	6.64
3	43	6.64	6.64
3	44	6.64	6.64
3	45	6.64	6.64
3	46	6.64	6.64
3	47	6.64	6.64
4	0	6.57	6.57
4	1	6.57	6.57
4	2	6.57	6.57
4	3	6.57	6.57
4	4	6.57	6.57
