Plane	Strip	MeanFit	Mean
==========================
0	0	-0.210938	-0.210938
0	1	-0.234375	-0.234375
0	2	-0.28125	-0.28125
0	3	-0.398437	-0.398438
0	4	-0.28125	-0.28125
0	5	-0.375	-0.375
0	6	-0.234375	-0.234375
0	7	-0.304687	-0.304688
0	8	-0.398437	-0.398438
0	9	-0.304688	-0.304688
0	10	-0.164062	-0.164062
0	11	-0.398437	-0.398438
0	12	-0.328125	-0.328125
0	13	-0.445313	-0.445312
0	14	-0.304687	-0.304688
0	15	-0.46875	-0.46875
0	16	-0.421875	-0.421875
0	17	-0.515625	-0.515625
0	18	-0.375	-0.375
0	19	-0.421875	-0.421875
0	20	-0.351563	-0.351562
0	21	-0.375	-0.375
0	22	-0.398438	-0.398438
0	23	-0.375	-0.375
0	24	-0.046875	-0.046875
0	25	-0.046875	-0.046875
0	26	-0.117188	-0.117188
0	27	-0.164063	-0.164062
0	28	-0.046875	-0.046875
0	29	-0.140625	-0.140625
0	30	-4.9042e-13	0
0	31	-0.0234375	-0.0234375
0	32	-0.046875	-0.046875
0	33	-4.97029e-13	0
0	34	0.140625	0.140625
0	35	-0.140625	-0.140625
0	36	-0.046875	-0.046875
0	37	-0.09375	-0.09375
0	38	-2.14687e-13	0
0	39	-0.1875	-0.1875
0	40	2.05452e-13	0
0	41	0.0234375	0.0234375
0	42	5.90529e-13	0
0	43	0.117188	0.117188
0	44	0.140625	0.140625
0	45	-0.0703125	-0.0703125
0	46	0.046875	0.046875
0	47	-0.0234375	-0.0234375
1	0	1.05005	0
1	1	0.953103	0
1	2	0	0
1	3	0	0
1	4	0	0
1	5	0	0
1	6	0	0
1	7	0	0
1	8	0	0
1	9	0	0
1	10	0	0
1	11	0	0
1	12	0	0
1	13	-6.53204	0
1	14	-9.7535	0
1	15	-5.15088	0
1	16	0	0
1	17	0	0
1	18	0	0
1	19	0	0
1	20	0	0
1	21	0	0
1	22	0	0
1	23	0	0
1	24	0	0
1	25	0	0
1	26	0	0
1	27	0.262533	0
1	28	5.72706	0
1	29	58.1235	0
1	30	8.46504	0
1	31	4.73047	0
1	32	-54.8646	0
1	33	-15.2909	0
1	34	-118.066	0
1	35	-71.1144	0
1	36	19.5748	0
1	37	-0.749769	0
1	38	182.212	0
1	39	-0.761331	0
1	40	7.08081	0
1	41	2.34995	0
1	42	81.9595	0
1	43	21.177	0
1	44	6.1047	0
1	45	0	0
1	46	4.00423	0
1	47	-0.342532	0
2	0	-1.92188	-1.92188
2	1	-1.89844	-1.89844
2	2	-1.875	-1.875
2	3	-2.08594	-2.08594
2	4	-1.94531	-1.94531
2	5	-1.94531	-1.94531
2	6	-1.92187	-1.92188
2	7	-1.96875	-1.96875
2	8	-1.875	-1.875
2	9	-1.96875	-1.96875
2	10	-1.89844	-1.89844
2	11	-1.96875	-1.96875
2	12	-1.875	-1.875
2	13	-1.96875	-1.96875
2	14	-1.92188	-1.92188
2	15	-2.03906	-2.03906
2	16	-1.82812	-1.82812
2	17	-1.89844	-1.89844
2	18	-1.80469	-1.80469
2	19	-1.85156	-1.85156
2	20	-1.71094	-1.71094
2	21	-1.89844	-1.89844
2	22	-1.85156	-1.85156
2	23	-1.82813	-1.82812
2	24	-2.20312	-2.20312
2	25	-2.20313	-2.20312
2	26	-2.20313	-2.20312
2	27	-2.32031	-2.32031
2	28	-2.27344	-2.27344
2	29	-2.29688	-2.29688
2	30	-2.15625	-2.15625
2	31	-2.22656	-2.22656
2	32	-2.22656	-2.22656
2	33	-2.22656	-2.22656
2	34	-2.17969	-2.17969
2	35	-2.32031	-2.32031
2	36	-2.27344	-2.27344
2	37	-2.32031	-2.32031
2	38	-2.17969	-2.17969
2	39	-2.36719	-2.36719
2	40	-2.25	-2.25
2	41	-2.36719	-2.36719
2	42	-2.22656	-2.22656
2	43	-2.22656	-2.22656
2	44	-2.13281	-2.13281
2	45	-2.25	-2.25
2	46	-2.20312	-2.20312
2	47	-2.25	-2.25
3	0	-6.58594	-6.58594
3	1	-6.63281	-6.63281
3	2	-6.58594	-6.58594
3	3	-6.67969	-6.67969
3	4	-6.63281	-6.63281
3	5	-6.72656	-6.72656
3	6	-6.60938	-6.60938
3	7	-6.65625	-6.65625
3	8	-6.53906	-6.53906
3	9	-6.65625	-6.65625
3	10	-6.51563	-6.51562
3	11	-6.60938	-6.60938
3	12	-6.63281	-6.63281
3	13	-6.63281	-6.63281
3	14	-6.49219	-6.49219
3	15	-6.70313	-6.70312
3	16	-6.55205	-6.55957
3	17	-6.60937	-6.60938
3	18	-6.58594	-6.58594
3	19	-7.95398	-6.7418
3	20	-6.53906	-6.53906
3	21	-6.58594	-6.58594
