Plane	Strip	MeanFit	Mean
==========================
0	0	1.52095e-06	0
0	1	0.0474033	0.046875
0	2	0.0474033	0.046875
0	3	-0.0702435	-0.0703125
0	4	-0.0233685	-0.0234375
0	5	0.000528419	0
0	6	0.0474033	0.046875
0	7	0.00052833	0
0	8	0.0942783	0.09375
0	9	-0.0463467	-0.046875
0	10	-0.296875	0.0547183
0	11	0.000528411	0
0	12	0.0474033	0.046875
0	13	-0.0932217	-0.09375
0	14	0.00052833	0
0	15	0.00052833	0
0	16	0.00052833	0
0	17	0.00052833	0
0	18	0.0942783	0.09375
0	19	0.0942783	0.09375
0	20	0.188028	0.1875
0	21	0.0474033	0.046875
0	22	0.0474033	0.046875
0	23	-0.0702435	-0.0703125
0	24	0.0942784	0.09375
0	25	0.234903	0.234375
0	26	0.141153	0.140625
0	27	0.0703815	0.0703125
0	28	0.257882	0.257812
0	29	0.188028	0.1875
0	30	0.328653	0.328125
0	31	0.211007	0.210938
0	32	0.351632	0.351562
0	33	0.141153	0.140625
0	34	0.281778	0.28125
0	35	0.234903	0.234375
0	36	0.304757	0.304688
0	37	0.164132	0.164062
0	38	0.304757	0.304688
0	39	0.281778	0.28125
0	40	0.234903	0.234375
0	41	0.234903	0.234375
0	42	0.234903	0.234375
0	43	0.211007	0.210938
0	44	0.351632	0.351562
0	45	0.164132	0.164062
0	46	0.164132	0.164062
0	47	0.188028	0.1875
1	0	0.141153	0.140625
1	1	0.141153	0.140625
1	2	0.141153	0.140625
1	3	0.0474033	0.046875
1	4	0.0942783	0.09375
1	5	0.0474033	0.046875
1	6	0.117788	0.117188
1	7	0.0942783	0.09375
1	8	0.0240379	0.0234375
1	9	0.0240379	0.0234375
1	10	0.188028	0.1875
1	11	-0.0228371	-0.0234375
1	12	0.117788	0.117188
1	13	0.00052833	0
1	14	0.0709129	0.0703125
1	15	-0.0463467	-0.046875
1	16	0.00052833	0
1	17	-0.140097	-0.140625
1	18	0.0942783	0.09375
1	19	-0.0463467	-0.046875
1	20	0.0474033	0.046875
1	21	0.0474033	0.046875
1	22	0.0474033	0.046875
1	23	0.0474033	0.046875
1	24	0.0942783	0.09375
1	25	0.141153	0.140625
1	26	0.0942783	0.09375
1	27	-0.0463467	-0.046875
1	28	0.0942783	0.09375
1	29	0.0474033	0.046875
1	30	0.141153	0.140625
1	31	0.0709129	0.0703125
1	32	0.188028	0.1875
1	33	0.0942783	0.09375
1	34	0.141153	0.140625
1	35	0.00052833	0
1	36	0.0942783	0.09375
1	37	0.00052833	0
1	38	0.0942783	0.09375
1	39	0.00052833	0
1	40	0.0942783	0.09375
1	41	0.0235065	0.0234375
1	42	0.0942783	0.09375
1	43	0.0942783	0.09375
1	44	0.211007	0.210938
1	45	0.0942783	0.09375
1	46	0.0703815	0.0703125
1	47	0.0942784	0.09375
2	0	2.25053	2.25
2	1	2.2974	2.29688
2	2	2.34428	2.34375
2	3	2.20365	2.20312
2	4	2.27404	2.27344
2	5	2.2974	2.29688
2	6	2.43803	2.4375
2	7	2.2974	2.29688
2	8	2.4849	2.48438
2	9	2.22716	2.22656
2	10	2.39115	2.39062
2	11	2.2974	2.29688
2	12	2.2974	2.29688
2	13	2.25053	2.25
2	14	2.36726	2.36719
2	15	2.2974	2.29688
2	16	2.39115	2.39062
2	17	2.27351	2.27344
2	18	2.2974	2.29688
2	19	2.2974	2.29688
2	20	2.39115	2.39062
2	21	2.25053	2.25
2	22	2.2974	2.29688
2	23	2.2974	2.29688
2	24	2.01615	2.01562
2	25	2.06303	2.0625
2	26	2.01615	2.01562
2	27	1.96928	1.96875
2	28	2.06303	2.0625
2	29	1.96928	1.96875
2	30	2.15678	2.15625
2	31	2.06303	2.0625
2	32	2.13288	2.13281
2	33	2.06303	2.0625
2	34	2.15678	2.15625
2	35	2.1099	2.10938
2	36	2.15678	2.15625
2	37	1.96928	1.96875
2	38	2.09854	2.11586
2	39	2.01615	2.01562
2	40	2.06303	2.0625
2	41	2.01615	2.01562
2	42	2.13288	2.13281
2	43	2.03913	2.03906
2	44	2.17976	2.17969
2	45	2.06303	2.0625
2	46	2.01615	2.01562
2	47	2.03913	2.03906
3	0	7.01567	6.90554
3	1	6.51319	6.48479
3	2	6.67956	6.67969
3	3	6.44543	6.44531
3	4	6.31512	6.52697
3	5	6.56286	6.5625
3	6	6.65661	6.65625
3	7	6.53894	6.53906
3	8	6.75036	6.75
3	9	6.53894	6.53906
3	10	6.63269	6.63281
3	11	6.65661	6.65625
3	12	6.70348	6.70312
3	13	6.54178	6.52734
3	14	6.58606	6.58594
3	15	6.58581	6.58594
3	16	6.57747	6.53038
3	17	6.33806	6.28125
3	18	6.5728	6.53091
3	19	6.48051	6.33854
3	20	6.64653	6.55611
3	21	6.64747	6.57031
3	22	6.58512	6.54774
3	23	6.41878	6.35826
3	24	6.4535	6.41122
3	25	6.60618	6.58594
3	26	6.45313	6.30469
3	27	6.35938	6.24609
3	28	6.58082	6.52344
3	29	6.54688	6.44531
3	30	7.62654	6.25781
3	31	7.9418	6.58594
3	32	6.69626	6.67969
3	33	6.63553	6.59263
3	34	6.7751	6.71615
3	35	6.64067	6.52604
3	36	6.68313	6.6179
3	37	6.66077	6.61719
3	38	6.68394	6.6658
3	39	6.61315	6.65255
3	40	6.68288	6.68638
3	41	-11.0531	0
3	42	6.65685	6.65625
3	43	-11.0531	0
3	44	7.51993	6.16406
3	45	8.03555	6.67969
3	46	-11.0531	0
3	47	-11.0531	0
4	0	-11.0531	0
4	1	7.00788	7.00781
4	2	6.51615	6.51562
4	3	6.93803	6.9375
4	4	6.51615	6.51562
4	5	6.46928	6.46875
4	6	-11.0531	0
4	7	-11.0531	0
4	8	7.03178	7.03125
4	9	-11.0531	0
4	10	-11.0531	0
4	11	6.93803	6.9375
4	12	6.65678	6.65625
4	13	6.37553	6.375
4	14	6.51615	6.51562
4	15	6.51615	6.51562
4	16	6.46928	6.46875
4	17	6.30851	6.33184
4	18	6.51534	6.51562
4	19	6.37553	6.375
4	20	6.49226	6.49219
4	21	6.4224	6.42188
4	22	6.32865	6.32812
4	23	6.37553	6.375
4	24	6.6099	6.60938
4	25	6.63288	6.63281
4	26	6.63288	6.63281
4	27	6.47297	6.49589
4	28	6.63301	6.63281
4	29	6.51963	6.54273
4	30	6.63523	6.65975
4	31	6.58613	6.58594
4	32	6.58601	6.58594
4	33	6.58601	6.58594
4	34	6.65678	6.65625
4	35	6.49226	6.49219
4	36	6.63288	6.63281
4	37	6.49226	6.49219
4	38	6.58601	6.58594
4	39	6.44852	6.47237
4	40	6.51966	6.54273
4	41	6.39863	6.39844
4	42	6.51963	6.54273
4	43	6.49238	6.49219
4	44	6.58601	6.58594
4	45	6.46841	6.46875
4	46	6.51528	6.51562
4	47	6.5155	6.51562
5	0	-0.0228371	-0.0234375
5	1	-0.0228371	-0.0234375
5	2	-0.116587	-0.117188
5	3	0.117788	0.117188
5	4	-0.0228371	-0.0234375
5	5	-0.0228371	-0.0234375
5	6	0.0240379	0.0234375
5	7	0.00052833	0
5	8	-0.0228371	-0.0234375
5	9	0.0240379	0.0234375
5	10	-0.0697121	-0.0703125
5	11	0.0709129	0.0703125
5	12	-0.0932217	-0.09375
5	13	0.0709129	0.0703125
5	14	-0.0228371	-0.0234375
5	15	0.117788	0.117188
5	16	0.0240379	0.0234375
5	17	0.117788	0.117188
5	18	-0.0463467	-0.046875
5	19	0.00052833	0
5	20	0.00052833	0
5	21	-0.0228371	-0.0234375
5	22	0.00052833	0
5	23	-0.0228371	-0.0234375
5	24	0.00052833	0
5	25	-0.0463467	-0.046875
5	26	-0.0697121	-0.0703125
5	27	0.117788	0.117188
5	28	-0.0228371	-0.0234375
5	29	0.0240379	0.0234375
5	30	-0.116587	-0.117188
5	31	0.00052833	0
5	32	-0.0932217	-0.09375
5	33	-0.0228371	-0.0234375
5	34	-0.0932217	-0.09375
5	35	0.00052833	0
5	36	-0.0463467	-0.046875
5	37	0.0709129	0.0703125
5	38	0.55625	0.0157501
5	39	0.0709127	0.0703125
5	40	-0.0463467	-0.046875
5	41	0.0474033	0.046875
5	42	-0.0697121	-0.0703125
5	43	-0.0228371	-0.0234375
5	44	0.36875	-0.17163
5	45	-0.0932216	-0.09375
5	46	0.000528331	0
5	47	-0.0463467	-0.046875
6	0	0.0240379	0.0234375
6	1	0.0240379	0.0234375
6	2	-0.0697121	-0.0703125
6	3	0.141153	0.140625
6	4	0.0474033	0.046875
6	5	0.0240379	0.0234375
6	6	-0.0228371	-0.0234375
6	7	0.117788	0.117188
6	8	-0.0697121	-0.0703125
6	9	-0.0228371	-0.0234375
6	10	-0.0228371	-0.0234375
6	11	-0.0228371	-0.0234375
6	12	-0.0697121	-0.0703125
6	13	0.0474033	0.046875
6	14	-0.0228371	-0.0234375
6	15	0.0709129	0.0703125
6	16	0.117788	0.117188
6	17	0.211538	0.210938
6	18	-0.0228371	-0.0234375
6	19	0.0709129	0.0703125
6	20	0.000528331	0
6	21	0.0240379	0.0234375
6	22	0.0709129	0.0703125
6	23	0.0709129	0.0703125
6	24	-0.0463467	-0.046875
6	25	-0.0697121	-0.0703125
6	26	0.0240379	0.0234375
6	27	0.000528331	0
6	28	-0.0932217	-0.09375
6	29	0.0709129	0.0703125
6	30	-0.140097	-0.140625
6	31	-0.0697121	-0.0703125
6	32	-0.0228371	-0.0234375
6	33	0.00052833	0
6	34	-0.0228371	-0.0234375
6	35	0.0709129	0.0703125
6	36	-0.0463467	-0.046875
6	37	0.0942783	0.09375
6	38	-1.74063	-0.228694
6	39	-0.000252062	0
6	40	0.415625	-0.124785
6	41	-0.116587	-0.117188
6	42	-0.0228371	-0.0234375
6	43	-0.0228371	-0.0234375
6	44	-0.186972	-0.1875
6	45	0.0240379	0.0234375
6	46	0.0240379	0.0234375
6	47	-0.0463467	-0.046875
7	0	2.13341	2.13281
7	1	2.03966	2.03906
7	2	2.20365	2.20312
7	3	2.22716	2.22656
7	4	2.13341	2.13281
