
  Det     Mod                 Serial      Slot     Channel
==========================================================
   T0       0              0x6EA9711        21          33
  BC1       0              0x6EA9711        21          31 
  BC2       0              0x6EA9711        21          24
 VETO       0              0x6EA9711        21          28
   FD       0              0x6EA9711        21          32
  BD        0              0x6EA9711        21          15 
  BD        1              0x6EA9711        21          22 
  BD        2              0x6EA9711        21          18 
  BD        3              0x6EA9711        21          36
  BD        4              0x6EA9711        21          14 
  BD        5              0x6EA9711        21          16 
  BD        6              0x6EA9711        21          12 
  BD        7              0x6EA9711        21          23 
  BD        8              0x6EA9711        21          40 
  BD        9              0x6EA9711        21          19 
 BD        10              0x6EA9711        21          21 
 BD        11              0x6EA9711        21          17 
 BD        12              0x6EA9711        21          13 
 BD        13              0x6EA9711        21          44 
 BD        14              0x6EA9711        21          20 
 BD        15              0x6EA9711        21           0 
 BD        16              0x6EA9711        21           9 
 BD        17              0x6EA9711        21           5 
 BD        18              0x6EA9711        21          37 
 BD        19              0x6EA9711        21           1 
 BD        20              0x6EA9711        21           7 
 BD        21              0x6EA9711        21           3 
 BD        22              0x6EA9711        21           8 
 BD        23              0x6EA9711        21          41 
 BD        24              0x6EA9711        21           4 
 BD        25              0x6EA9711        21          10 
 BD        26              0x6EA9711        21           6 
 BD        27              0x6EA9711        21           2 
 BD        28              0x6EA9711        21          45 
 BD        29              0x6EA9711        21          11 
 BD        30              0x6EA9711        21          63 
 BD        31              0x6EA9711        21          70 
 BD        32              0x6EA9711        21          66 
 BD        33              0x6EA9711        21          25 
 BD        34              0x6EA9711        21          62 
 BD        35              0x6EA9711        21          64 
 BD        36              0x6EA9711        21          60 
 BD        37              0x6EA9711        21          71 
 BD        38              0x6EA9711        21          29 
 BD        39              0x6EA9711        21          67
