
      Det     Mod      Serial      Slot     Channel  IsNegative
================================================================
  TQDC_BC1      2  0x076D3892        13           0       0
  TQDC_BC2      2  0x076D3892        13           9       0
  TQDC_VC       2  0x076D3892        13          12       0
  BC1           1  0x076D3892        18          14       1
  BC2           0  0x076D3892        18           9       0
  BC2           1  0x076D3892        18          18       0
  BC3           0  0x076D3892        18           4       0
  BC3           1  0x076D3892        18           6       0
  VC            0  0x076D3892        18           0       0
  VC            1  0x076D3892        18          10       0
  BD            0  0x076D3892        18          12       0
  BD            1  0x076D3892        18          42       0
  BD            2  0x076D3892        18          46       0
  BD            3  0x076D3892        18          39       0
  BD            4  0x076D3892        18          38       0
  BD            5  0x076D3892        18          16       0
  BD            6  0x076D3892        18          47       0
  BD            7  0x076D3892        18          36       0
  BD            8  0x076D3892        18          40       0
  BD            9  0x076D3892        18          43       0
  BD           10  0x076D3892        18          20       0
  BD           11  0x076D3892        18          37       0
  BD           12  0x076D3892        18          41       0
  BD           13  0x076D3892        18          45       0
  BD           14  0x076D3892        18          44       0
  BD           15  0x076D3892        18          13       0
  BD           16  0x076D3892        18          29       0
  BD           17  0x076D3892        18          33       0
  BD           18  0x076D3892        18          24       0
  BD           19  0x076D3892        18          25       0
  BD           20  0x076D3892        18          17       0
  BD           21  0x076D3892        18          32       0
  BD           22  0x076D3892        18          27       0
  BD           23  0x076D3892        18          31       0
  BD           24  0x076D3892        18          28       0
  BD           25  0x076D3892        18          21       0
  BD           26  0x076D3892        18          26       0
  BD           27  0x076D3892        18          30       0
  BD           28  0x076D3892        18          34       0
  BD           29  0x076D3892        18          35       0
  BD           30  0x076D3892        18           1       0
  BD           31  0x076D3892        18          66       0
  BD           32  0x076D3892        18          70       0
  BD           33  0x076D3892        18          63       0
  BD           34  0x076D3892        18          62       0
  BD           35  0x076D3892        18           5       0
  BD           36  0x076D3892        18          71       0
  BD           37  0x076D3892        18          60       0
  BD           38  0x076D3892        18          64       0
  BD           39  0x076D3892        18          67       0
  Si            0  0x076D3892        20          14       0
  Si            1  0x076D3892        20          18       0
  Si            2  0x076D3892        20          15       0
  Si            3  0x076D3892        20          22       0
  Si            4  0x076D3892        20          36       0
  Si            5  0x076D3892        20          19       0
  Si            6  0x076D3892        20          23       0
  Si            7  0x076D3892        20          16       0
  Si            8  0x076D3892        20          12       0
  Si            9  0x076D3892        20          40       0
  Si           10  0x076D3892        20          20       0
  Si           11  0x076D3892        20          13       0
  Si           12  0x076D3892        20          21       0
  Si           13  0x076D3892        20          17       0
  Si           14  0x076D3892        20          44       0
  Si           15  0x076D3892        20           1       0
  Si           16  0x076D3892        20           5       0
  Si           17  0x076D3892        20           0       0
  Si           18  0x076D3892        20           9       0
  Si           19  0x076D3892        20          37       0
  Si           20  0x076D3892        20           4       0
  Si           21  0x076D3892        20           8       0
  Si           22  0x076D3892        20           7       0
  Si           23  0x076D3892        20           3       0
  Si           24  0x076D3892        20          41       0
  Si           25  0x076D3892        20          11       0
  Si           26  0x076D3892        20           2       0
  Si           27  0x076D3892        20          10       0
  Si           28  0x076D3892        20           6       0
  Si           29  0x076D3892        20          45       0
  Si           30  0x076D3892        20          -1       0
  Si           31  0x076D3892        20          -1       0
  Si           32  0x076D3892        20          62       0
  Si           33  0x076D3892        20          66       0
  Si           34  0x076D3892        20          63       0
  Si           35  0x076D3892        20          70       0
  Si           36  0x076D3892        20          25       0
  Si           37  0x076D3892        20          67       0
  Si           38  0x076D3892        20          71       0
  Si           39  0x076D3892        20          64       0
  Si           40  0x076D3892        20          60       0
  Si           41  0x076D3892        20          29       0
  Si           42  0x076D3892        20          68       0
  Si           43  0x076D3892        20          61       0
  Si           44  0x076D3892        20          69       0
  Si           45  0x076D3892        20          65       0
  Si           46  0x076D3892        20          33       0
  Si           47  0x076D3892        20          49       0
  Si           48  0x076D3892        20          53       0
  Si           49  0x076D3892        20          48       0
  Si           50  0x076D3892        20          57       0
  Si           51  0x076D3892        20          24       0
  Si           52  0x076D3892        20          52       0
  Si           53  0x076D3892        20          56       0
  Si           54  0x076D3892        20          55       0
  Si           55  0x076D3892        20          51       0
  Si           56  0x076D3892        20          28       0
  Si           57  0x076D3892        20          59       0
  Si           58  0x076D3892        20          50       0
  Si           59  0x076D3892        20          58       0
  Si           60  0x076D3892        20          54       0
  Si           61  0x076D3892        20          32       0
  Si           62  0x076D3892        20          -1       0
  Si           63  0x076D3892        20          -1       0

