module#   x(cm)     y(cm)
1          28        28
2          24        28
3          20        28
4          16        28
5          12        28
6           8        28
7           4        28
8           0        28
9          -4        28
10         -8        28
11        -12        28
12        -16        28
13        -20        28
14        -24        28
15        -28        28
16         28        24
17         24        24
18         20        24
19         16        24
20         12        24
21          8        24
22          4        24
23          0        24
24         -4        24
25         -8        24
26        -12        24
27        -16        24
28        -20        24
29        -24        24
30        -28        24
31         28        20
32         24        20
33         20        20
34         16        20
35         12        20
36          8        20
37          4        20
38          0        20
39         -4        20
40         -8        20
41        -12        20
42        -16        20
43        -20        20
44        -24        20
45        -28        20
46         28        16
47         24        16
48         20        16
49         16        16
50         12        16
51          8        16
52          4        16
53          0        16
54         -4        16
55         -8        16
56        -12        16
57        -16        16
58        -20        16
59        -24        16
60        -28        16
61         28        12
62         24        12
63         20        12
64         16        12
65         12        12
66          8        12
67          4        12
68          0        12
69         -4        12
70         -8        12
71        -12        12
72        -16        12
73        -20        12
74        -24        12
75        -28        12
76         28         8
77         24         8
78         20         8
79         16         8
80         12         8
81          8         8
82          4         8
83          0         8
84         -4         8
85         -8         8
86        -12         8
87        -16         8
88        -20         8
89        -24         8
90        -28         8
91         28         4
92         24         4
93         20         4
94         16         4
95         12         4
96          8         4
97          4         4
98          0         4
99         -4         4
100        -8         4
101       -12         4
102       -16         4
103       -20         4
104       -24         4
105       -28         4
106        28         0
107        24         0
108        20         0
109        16         0
110        12         0
111         8         0
112         4         0
113         0         0
114        -4         0
115        -8         0
116       -12         0
117       -16         0
118       -20         0
119       -24         0
120       -28         0
121        28        -4
122        24        -4
123        20        -4
124        16        -4
125        12        -4
126         8        -4
127         4        -4
128         0        -4
129        -4        -4
130        -8        -4
131       -12        -4
132       -16        -4
133       -20        -4
134       -24        -4
135       -28        -4
136        28        -8
137        24        -8
138        20        -8
139        16        -8
140        12        -8
141         8        -8
142         4        -8
143         0        -8
144        -4        -8
145        -8        -8
146       -12        -8
147       -16        -8
148       -20        -8
149       -24        -8
150       -28        -8
151        28       -12
152        24       -12
153        20       -12
154        16       -12
155        12       -12
156         8       -12
157         4       -12
158         0       -12
159        -4       -12
160        -8       -12
161       -12       -12
162       -16       -12
163       -20       -12
164       -24       -12
165       -28       -12
166        28       -16
167        24       -16
168        20       -16
169        16       -16
170        12       -16
171         8       -16
172         4       -16
173         0       -16
174        -4       -16
175        -8       -16
176       -12       -16
177       -16       -16
178       -20       -16
179       -24       -16
180       -28       -16
181        28       -20
182        24       -20
183        20       -20
184        16       -20
185        12       -20
186         8       -20
187         4       -20
188         0       -20
189        -4       -20
190        -8       -20
191       -12       -20
192       -16       -20
193       -20       -20
194       -24       -20
195       -28       -20
196        28       -24
197        24       -24
198        20       -24
199        16       -24
200        12       -24
201         8       -24
202         4       -24
203         0       -24
204        -4       -24
205        -8       -24
206       -12       -24
207       -16       -24
208       -20       -24
209       -24       -24
210       -28       -24
211        28       -28
212        24       -28
213        20       -28
214        16       -28
215        12       -28
216         8       -28
217         4       -28
218         0       -28
219        -4       -28
220        -8       -28
221       -12       -28
222       -16       -28
223       -20       -28
224       -24       -28
225       -28       -28

