Plane	Strip	Efrain_Shift	Old_Shift
=====================================================
0	0	-11.9	-11.9
0	1	-0.0117188	-0.0311384
0	2	0.0820312	0.0443892
0	3	-0.09375	-0.112401
0	4	-0.09375	-0.117532
0	5	-0.0585938	-0.078125
0	6	0.0585938	0.0354864
0	7	-0.0820312	-0.0771339
0	8	0.105469	0.323438
0	9	-0.0234375	-0.0328455
0	10	0.046875	0.00585937
0	11	-0.0117188	-0.0117187
0	12	0.0351562	0.0103795
0	13	-0.0351562	-0.0296224
0	14	0.0703125	0.0232677
0	15	-0.0703125	-0.0748981
0	16	0.0703125	0.0742188
0	17	-0.0234375	-0.0358165
0	18	0.0351562	-0.00472248
0	19	0.0585938	0.050071
0	20	-0.046875	0.186523
0	21	-0.0351562	-0.0641908
0	22	0.0703125	0.00874256
0	23	0	0.808594
0	24	0	0
0	25	0	0
0	26	0	0
0	27	0	0
0	28	0	0
0	29	0	0
0	30	0	0
0	31	0	0
0	32	0	0
0	33	0	0
0	34	0	0
0	35	0	0
0	36	0	0
0	37	0	0
0	38	0	0
0	39	0	0
0	40	0	0
0	41	0	0
0	42	0	0
0	43	0	0
0	44	0	0
0	45	0	0
0	46	0	0
0	47	-11.9	-11.9
1	0	-11.9	-11.9
1	1	0.152344	0.144742
1	2	0.199219	0.199219
1	3	0.105469	0.105148
1	4	0.175781	0.175781
1	5	0.117188	0.10319
1	6	0.222656	0.191981
1	7	0.164062	0.159728
1	8	0.152344	0.144206
1	9	0.09375	0.0728463
1	10	0.1875	0.197545
1	11	0.105469	0.103431
1	12	0.164062	0.15062
1	13	0.0117188	0.0117188
1	14	0.046875	0.0344866
1	15	0.0234375	0.0262434
1	16	0.09375	0.104779
1	17	0	0.00561858
1	18	0.117188	0.110826
1	19	0.0820312	0.0651042
1	20	0.105469	0.0991721
1	21	0.0234375	0.0361607
1	22	0.0234375	0.0260937
1	23	0.046875	0.0672991
1	24	0.1875	0.184844
1	25	0.0820312	0.0874893
1	26	0.164062	0.153949
1	27	0.0820312	0.0666203
1	28	0.140625	0.125651
1	29	0.09375	0.0968001
1	30	0.105469	0.119595
1	31	0.140625	0.110795
1	32	0.164062	0.108617
1	33	0.0351562	0.0467001
1	34	0.164062	0.152344
1	35	-0.0117188	-0.0428571
1	36	0.128906	0.14045
1	37	0.105469	0.0830966
1	38	0.1875	0.163893
1	39	0.046875	0.0613511
1	40	0.152344	0.144761
1	41	0.0820312	0.0616958
1	42	0.105469	0.0809659
1	43	0.152344	0.157392
1	44	0.222656	0.206706
1	45	0.046875	0.018821
1	46	0.105469	0.0512695
1	47	-11.9	-11.9
2	0	-11.9	-11.9
2	1	0.175781	0.170573
2	2	0.175781	0.175781
2	3	0.164062	0.165039
2	4	0.292969	0.286133
2	5	0.128906	0.144959
2	6	0.304688	0.315755
2	7	0.222656	0.222656
2	8	0.210938	0.227793
2	9	0.140625	0.140625
2	10	0.269531	0.259079
2	11	0.0820312	0.0865885
2	12	0.1875	0.205078
2	13	0.0703125	0.0922215
2	14	0.140625	0.14589
2	15	0.105469	0.124888
2	16	0.1875	0.191636
