Plane	Strip	Efrain_Correction	Old_Correction
=====================================================
0	0	-11.9	-11.9
0	1	21.6659	21.782
0	2	21.7042	21.782
0	3	21.7346	21.782
0	4	21.6715	21.782
0	5	21.6956	21.782
0	6	21.7666	21.782
0	7	21.7632	21.782
0	8	18.9912	21.782
0	9	21.7213	21.782
0	10	21.6477	21.782
0	11	21.6679	21.782
0	12	21.6829	21.782
0	13	21.6642	21.782
0	14	21.6426	21.782
0	15	21.721	21.782
0	16	21.6752	21.782
0	17	21.6748	21.782
0	18	21.615	21.782
0	19	21.6584	21.782
0	20	21.5115	21.782
0	21	21.5936	21.782
0	22	21.668	21.782
0	23	21.782	21.782
0	24	21.782	21.782
0	25	21.782	21.782
0	26	21.782	21.782
0	27	21.782	21.782
0	28	21.782	21.782
0	29	21.782	21.782
0	30	21.782	21.782
0	31	21.782	21.782
0	32	21.782	21.782
0	33	21.782	21.782
0	34	21.782	21.782
0	35	21.782	21.782
0	36	21.782	21.782
0	37	21.782	21.782
0	38	21.782	21.782
0	39	21.782	21.782
0	40	21.782	21.782
0	41	21.782	21.782
0	42	21.782	21.782
0	43	21.782	21.782
0	44	21.782	21.782
0	45	21.782	21.782
0	46	21.782	21.782
0	47	21.782	21.782
1	0	-11.9	-11.9
1	1	21.6091	21.782
1	2	21.6328	21.782
1	3	21.6839	21.782
1	4	21.7059	21.782
1	5	21.6459	21.782
1	6	21.741	21.782
1	7	21.606	21.782
1	8	21.6664	21.782
1	9	21.5786	21.782
1	10	21.6124	21.782
1	11	21.6295	21.782
1	12	21.595	21.782
1	13	21.699	21.782
1	14	21.6282	21.782
1	15	21.7411	21.782
1	16	21.5381	21.782
1	17	21.7076	21.782
1	18	21.6389	21.782
1	19	21.6614	21.782
1	20	21.7443	21.782
1	21	21.6614	21.782
1	22	21.6167	21.782
1	23	21.604	21.782
1	24	21.7263	21.782
1	25	21.7356	21.782
1	26	21.6852	21.782
1	27	21.7884	21.782
1	28	22.0577	21.782
1	29	21.6363	21.782
1	30	21.5985	21.782
1	31	21.5934	21.782
1	32	21.7258	21.782
1	33	21.7014	21.782
1	34	21.6614	21.782
1	35	21.6167	21.782
1	36	21.5959	21.782
1	37	21.6583	21.782
1	38	21.8566	21.782
1	39	21.5785	21.782
1	40	21.6223	21.782
1	41	21.5203	21.782
1	42	21.7503	21.782
1	43	21.651	21.782
1	44	21.5661	21.782
1	45	21.6554	21.782
1	46	21.6854	21.782
1	47	21.782	21.782
2	0	-11.9	-11.9
2	1	21.649	21.782
2	2	21.6618	21.782
2	3	21.6393	21.782
2	4	21.6219	21.782
2	5	21.6137	21.782
2	6	21.6804	21.782
2	7	21.6265	21.782
2	8	21.6393	21.782
2	9	21.6673	21.782
2	10	21.6679	21.782
2	11	21.6573	21.782
2	12	21.6648	21.782
2	13	21.7314	21.782
2	14	21.6443	21.782
2	15	21.6718	21.782
2	16	21.7369	21.782
2	17	21.7353	21.782
2	18	21.6586	21.782
2	19	21.6651	21.782
2	20	21.7135	21.782
2	21	21.734	21.782
2	22	21.6534	21.782
2	23	21.6937	21.782
2	24	21.5307	21.782
