Channel	Calibration	Error
1	11.2605		0.00
2	9.94983		0.00
3	10.6369		0.00
4	9.72169		0.00
5	10.9553		0.00
6	9.68310		0.00
7	9.75696		0.00
8	9.16882		0.00
9	9.72408		0.00
10	9.43553		0.00
11	9.86864		0.00
12	3.51000		0.00
13	9.66285		0.00
14	9.54079		0.00
15	9.82897		0.00
16	11.3863		0.00
17	10.4903		0.00
18	10.5706		0.00
19	9.29544		0.00
20	7.57974		0.00
21	8.39569		0.00
22	10.1622		0.00
23	9.95365		0.00
24	9.93128		0.00
25	9.99024		0.00
26	10.5956		0.00
27	9.21792		0.00
28	10.2844		0.00
29	12.8425		0.00
30	13.8278		0.00
31	11.1655		0.00
32	12.2701		0.00
33	11.5947		0.00
34	11.0142		0.00
35	11.5512		0.00
36	11.5997		0.00
37	12.8168		0.00
38	13.3188		0.00
39	11.2818		0.00
40	12.5548		0.00
41	11.5738		0.00
42	10.1561		0.00
43	9.56939		0.00
44	9.85008		0.00
45	9.65356		0.00
46	9.56994		0.00
47	10.2667		0.00
48	9.67736		0.00
49	10.5158		0.00
50	9.59565		0.00
51	12.8075		0.00
52	12.0421		0.00
53	8.75756		0.00
54	9.65438		0.00
55	9.12309		0.00
56	9.96584		0.00
57	10.3475		0.00
58	4.34401		0.00
59	8.99761		0.00
60	10.1183		0.00
61	3.50000		0.00
62	8.80961		0.00
63	10.3093		0.00
64	10.2201		0.00
65	8.45065		0.00
66	10.4743		0.00
67	9.03045		0.00
68	8.82114		0.00
69	5.88637		0.00
70	4.99306		0.00
71	5.14588		0.00
72	5.80224		0.00
73	5.18225		0.00
74	4.76616		0.00
75	2.16185		0.00
76	4.64838		0.00
77	4.91013		0.00
78	5.24458		0.00
79	4.51845		0.00
80	2.52850		0.00
81	4.21557		0.00
82	4.66640		0.00
83	4.71238		0.00
84	4.70560		0.00
85	4.89828		0.00
86	3.11509		0.00
87	5.22928		0.00
88	4.97041		0.00
89	5.23874		0.00
90	3.08418		0.00
91	5.19392		0.00
92	5.07887		0.00
93	5.03572		0.00
94	4.83824		0.00
95	4.79074		0.00
96	5.12624		0.00
97	4.40736		0.00
98	4.85662		0.00
99	5.51664		0.00
100	3.85132		0.00
101	4.42385		0.00
102	4.88985		0.00
103	4.24391		0.00
104	4.84085		0.00
